WKT,Business name,Lat,Longitude
POINT (36.9401864 -1.3970327),Mlolongo,-1.3970327,36.9401864
POINT (36.8731357 -1.2494244),Mathare,-1.2494244,36.8731357
POINT (36.7762184 -1.3074527),Kibra,-1.3074527,36.7762184
POINT (36.7754654 -1.3125595),Bombolulu,-1.3125595,36.7754654
POINT (36.7540917 -1.2639274),Kangemi ,-1.2639274,36.7540917
POINT (36.8929145 -1.3191634),Pipeline,-1.3191634,36.8929145
POINT (36.9061428 -1.243594),Dandora,-1.243594,36.9061428
POINT (36.8987633 -1.2188305),Kasarani,-1.2188305,36.8987633
POINT (36.8849296 -1.2669699),Kariobangi South ,-1.2669699,36.8849296
POINT (36.8576715 -1.2950581),Jogoo Raod ,-1.2950581,36.8576715
POINT (36.8852215 -1.2992336),Donholm,-1.2992336,36.8852215
POINT (36.8218545 -1.3099397),Nairobi West ,-1.3099397,36.8218545
POINT (36.744836 -1.293744),Satellite,-1.293744,36.744836
POINT (36.9161158 -1.2091142),Githurai,-1.2091142,36.9161158
POINT (36.9820091 -1.264812),Ruai,-1.264812,36.9820091
POINT (36.9063089 -1.2766957),Kayole,-1.2766957,36.9063089
POINT (36.8946839 -1.2093086),Zimmerman,-1.2093086,36.8946839
POINT (36.9595663 -1.484945),Kitengela,-1.484945,36.9595663
POINT (36.7378452 -1.2852095),Kawangware,-1.2852095,36.7378452
POINT (36.7431083 -1.2885239),Keroka,-1.2885239,36.7431083
POINT (36.7879727 -1.297745),Ngong Road,-1.297745,36.7879727
POINT (36.8213234 -1.2762848),Ngara,-1.2762848,36.8213234
POINT (37.2667857 -1.5191024),Machakos,-1.5191024,37.2667857
POINT (36.9639677 -1.2803974),UtawalaÂ ,-1.2803974,36.9639677
POINT (36.7442377 -1.3938636),Ongata Rongai,-1.3938636,36.7442377
POINT (36.8991667 -1.2392778),Lucky Summer,-1.2392778,36.8991667
POINT (36.884 -1.2542222),Kariobangi North,-1.2542222,36.884
POINT (36.8916376 1.2799656),Umoja,1.2799656,36.8916376
POINT (36.8643889 -1.2588611),Juja Road/Huruma,-1.2588611,36.8643889
POINT (34.5998886 -0.7689843),Rongo,-0.7689843,34.5998886
POINT (34.455394 -0.5294347),Homabay,-0.5294347,34.455394
POINT (34.7731013 -0.0799683),Kondele,-0.0799683,34.7731013
POINT (34.2084417 -0.4228944),Mbita,-0.4228944,34.2084417
POINT (34.1660829 -0.5384463),Sindo,-0.5384463,34.1660829
POINT (34.476874 -1.085992),Migori,-1.085992,34.476874
POINT (34.778133 -0.677392),Kisii,-0.677392,34.778133
POINT (34.739068 -0.502272),Oyugis,-0.502272,34.739068
POINT (34.919929 -0.174098),Ahero,-0.174098,34.919929
POINT (34.796077 -0.077551),KLC,-0.077551,34.796077
POINT (34.7655032 -0.1094736),Nyalenda,-0.1094736,34.7655032
POINT (34.7506642 0.2855308),Kakamega,0.2855308,34.7506642
POINT (35.0710377 -0.1616391),Awasi,-0.1616391,35.0710377
POINT (35.0118437 -0.3900021),Sondu,-0.3900021,35.0118437
POINT (34.5583766 0.5695252),Bungoma,0.5695252,34.5583766
POINT (34.4877423 0.3332218),Mumias,0.3332218,34.4877423
POINT (34.70769 -0.6787595),Suneka,-0.6787595,34.70769
POINT (34.5422387 -0.9117866),Awendo,-0.9117866,34.5422387
POINT (34.5874448 0.0240007),Luanda,0.0240007,34.5874448
POINT (34.7174403 0.0412279),Majengo,0.0412279,34.7174403
POINT (34.731949 0.1166116),Chavakali,0.1166116,34.731949
POINT (34.727113 0.0901855),Mbale,0.0901855,34.727113
POINT (34.2842795 0.0602987),Siaya,0.0602987,34.2842795
POINT (34.4568838 -1.0938467),Suna East,-1.0938467,34.4568838
POINT (34.9364722 -0.5629167),Nyamira,-0.5629167,34.9364722
POINT (34.2958333 0.1801389),Uganda,0.1801389,34.2958333
POINT (34.5030833 -0.626),Rodi Kopany,-0.626,34.5030833
